instancia,seed,alpha,tempo,obj.grasp,obj.best
../instancias/VFR600_20_1_Gap.txt,4,1.000000,118.467350,36697,33054
../instancias/VFR600_20_1_Gap.txt,10,0.800000,121.899609,35391,32841
../instancias/VFR60_5_10_Gap.txt,1,0.400000,3.174241,3857,3680
../instancias/VFR500_60_3_Gap.txt,7,0.000000,299.690675,36930,33505
../instancias/VFR20_20_1_Gap.txt,7,0.800000,3.884229,2747,2348
../instancias/VFR500_40_1_Gap.txt,5,0.600000,196.929577,33913,30631
../instancias/VFR500_60_3_Gap.txt,7,0.200000,298.328251,37058,33626
../instancias/VFR10_15_1_Gap.txt,8,0.000000,1.456345,1424,1324
../instancias/VFR700_20_10_Gap.txt,8,0.800000,138.625335,40952,37890
../instancias/VFR100_60_1_Gap.txt,6,0.000000,57.578186,11247,10029
../instancias/VFR500_60_3_Gap.txt,3,0.400000,304.666250,36030,33596
../instancias/VFR500_60_3_Gap.txt,1,0.000000,302.412145,36930,33753
../instancias/VFR60_10_3_Gap.txt,1,0.800000,5.982951,4369,3527
../instancias/VFR500_60_3_Gap.txt,8,1.000000,302.068115,36437,33559
../instancias/VFR700_20_10_Gap.txt,1,0.600000,137.712178,41149,37920
../instancias/VFR600_20_1_Gap.txt,7,0.800000,119.104181,35881,33212
../instancias/VFR60_10_3_Gap.txt,4,0.600000,5.874841,4392,3617
../instancias/VFR20_10_3_Gap.txt,4,0.400000,1.977904,1918,1710
../instancias/VFR500_40_1_Gap.txt,7,1.000000,196.781639,32972,30794
../instancias/VFR20_20_1_Gap.txt,6,0.400000,4.056994,2794,2357
../instancias/VFR60_10_3_Gap.txt,2,0.800000,5.994140,4191,3621
../instancias/VFR60_10_3_Gap.txt,2,0.000000,6.041127,4357,3704
../instancias/VFR10_15_1_Gap.txt,1,0.000000,1.534927,1424,1352
../instancias/VFR500_40_1_Gap.txt,9,0.800000,201.960406,33455,30560
../instancias/VFR20_10_3_Gap.txt,5,1.000000,1.997374,2099,1710
../instancias/VFR10_15_1_Gap.txt,7,0.400000,1.467462,1502,1388
../instancias/VFR10_15_1_Gap.txt,7,0.800000,1.431329,1424,1346
../instancias/VFR60_5_10_Gap.txt,6,0.000000,3.063687,3849,3665
../instancias/VFR10_15_1_Gap.txt,2,0.600000,1.437551,1435,1308
../instancias/VFR700_20_10_Gap.txt,7,0.800000,137.753628,41383,37732
../instancias/VFR10_15_1_Gap.txt,7,0.000000,1.433140,1424,1352
../instancias/VFR500_40_1_Gap.txt,6,1.000000,199.773790,33515,30736
../instancias/VFR20_10_3_Gap.txt,8,1.000000,2.041099,1934,1667
../instancias/VFR700_20_10_Gap.txt,6,0.400000,138.617738,40725,37785
../instancias/VFR600_20_1_Gap.txt,8,0.800000,122.076369,36264,32812
../instancias/VFR500_60_3_Gap.txt,6,0.800000,299.299758,37046,33617
../instancias/VFR60_10_3_Gap.txt,4,0.200000,5.933766,4345,3639
../instancias/VFR700_20_10_Gap.txt,10,0.800000,137.762910,41420,37923
../instancias/VFR500_40_1_Gap.txt,8,0.600000,201.079787,33402,30798
../instancias/VFR20_10_3_Gap.txt,8,0.000000,2.048646,2017,1710
../instancias/VFR60_10_3_Gap.txt,5,0.400000,6.088572,4472,3638
../instancias/VFR500_60_3_Gap.txt,4,0.600000,301.675015,36089,33505
../instancias/VFR700_20_10_Gap.txt,5,0.800000,138.871216,41064,37853
../instancias/VFR20_10_3_Gap.txt,1,0.200000,2.030922,1966,1672
../instancias/VFR600_20_1_Gap.txt,5,0.400000,120.989881,35608,32841
../instancias/VFR10_15_1_Gap.txt,4,0.000000,1.443506,1424,1352
../instancias/VFR100_60_1_Gap.txt,1,0.000000,58.029818,11247,9975
../instancias/VFR10_15_1_Gap.txt,2,1.000000,1.461803,1577,1346
../instancias/VFR500_40_1_Gap.txt,1,1.000000,196.546349,33574,30662
../instancias/VFR700_20_10_Gap.txt,9,0.800000,140.398885,40584,38122
../instancias/VFR20_10_3_Gap.txt,3,0.400000,2.021356,2056,1694
../instancias/VFR500_60_3_Gap.txt,7,0.400000,296.211437,36304,33408
../instancias/VFR600_20_1_Gap.txt,4,0.000000,120.798432,35473,32903
../instancias/VFR700_20_10_Gap.txt,7,0.000000,141.527469,40916,37747
../instancias/VFR10_15_1_Gap.txt,10,0.200000,1.426680,1417,1350
../instancias/VFR500_60_3_Gap.txt,1,0.200000,296.501104,36688,33995
../instancias/VFR60_10_3_Gap.txt,4,1.000000,6.154770,4451,3579
../instancias/VFR500_40_1_Gap.txt,7,0.800000,207.406600,33712,30685
../instancias/VFR100_60_1_Gap.txt,10,0.000000,58.137416,11247,10060
../instancias/VFR500_40_1_Gap.txt,1,0.800000,196.725594,33871,30757
../instancias/VFR20_20_1_Gap.txt,3,0.800000,3.799710,2659,2367
../instancias/VFR60_10_3_Gap.txt,9,0.000000,5.905746,4357,3597
../instancias/VFR20_10_3_Gap.txt,3,1.000000,2.027189,1972,1673
../instancias/VFR60_5_10_Gap.txt,10,0.400000,3.091093,3857,3680
../instancias/VFR10_15_1_Gap.txt,2,0.000000,1.435551,1424,1346
../instancias/VFR20_10_3_Gap.txt,2,0.600000,2.007270,1938,1740
../instancias/VFR60_5_10_Gap.txt,4,1.000000,3.064992,3908,3665
../instancias/VFR700_20_10_Gap.txt,1,1.000000,139.326901,41658,37681
../instancias/VFR60_5_10_Gap.txt,6,0.200000,3.085529,3847,3665
../instancias/VFR500_40_1_Gap.txt,8,1.000000,197.466154,33251,30979
../instancias/VFR60_10_3_Gap.txt,10,0.000000,5.985229,4357,3662
../instancias/VFR20_20_1_Gap.txt,7,0.400000,3.776834,2633,2385
../instancias/VFR500_40_1_Gap.txt,3,0.800000,198.423023,33668,30867
../instancias/VFR20_20_1_Gap.txt,2,0.600000,3.821799,2699,2382
../instancias/VFR60_10_3_Gap.txt,8,0.200000,5.967387,4264,3751
../instancias/VFR20_10_3_Gap.txt,2,0.400000,2.016181,2000,1679
../instancias/VFR60_5_10_Gap.txt,5,1.000000,3.185768,3868,3665
../instancias/VFR500_40_1_Gap.txt,9,0.400000,197.485759,33414,30646
../instancias/VFR500_60_3_Gap.txt,1,0.400000,294.379545,36684,33535
../instancias/VFR500_60_3_Gap.txt,6,0.600000,302.112722,36930,33559
../instancias/VFR10_15_1_Gap.txt,6,0.400000,1.519954,1436,1346
../instancias/VFR600_20_1_Gap.txt,6,0.000000,118.767193,35473,32793
../instancias/VFR500_60_3_Gap.txt,4,1.000000,298.758998,36352,33538
../instancias/VFR60_5_10_Gap.txt,6,0.400000,3.220545,3816,3684
../instancias/VFR700_20_10_Gap.txt,9,0.000000,143.644884,40916,37898
../instancias/VFR500_60_3_Gap.txt,5,0.000000,296.093099,36930,33412
../instancias/VFR100_60_1_Gap.txt,10,1.000000,58.182335,11084,9979
../instancias/VFR60_5_10_Gap.txt,7,0.000000,3.135217,3849,3665
../instancias/VFR20_20_1_Gap.txt,9,0.200000,3.865641,2722,2313
../instancias/VFR500_60_3_Gap.txt,9,0.400000,297.756160,36459,33497
../instancias/VFR20_20_1_Gap.txt,7,1.000000,3.792254,2693,2352
../instancias/VFR500_40_1_Gap.txt,10,0.800000,198.496143,33426,30624
../instancias/VFR60_10_3_Gap.txt,5,0.200000,5.988856,4452,3540
../instancias/VFR600_20_1_Gap.txt,8,0.000000,119.029286,35473,32893
../instancias/VFR20_10_3_Gap.txt,8,0.800000,2.004967,1867,1711
../instancias/VFR20_20_1_Gap.txt,10,0.000000,3.832364,2715,2314
../instancias/VFR500_40_1_Gap.txt,10,0.600000,196.825369,33468,30517
../instancias/VFR60_5_10_Gap.txt,3,0.400000,3.105210,3882,3684
../instancias/VFR20_20_1_Gap.txt,8,0.000000,3.937712,2715,2388
../instancias/VFR700_20_10_Gap.txt,10,0.200000,138.866402,40902,37817
../instancias/VFR500_40_1_Gap.txt,3,0.000000,197.635221,33119,30505
../instancias/VFR20_20_1_Gap.txt,4,0.400000,3.856748,2767,2300
../instancias/VFR500_40_1_Gap.txt,9,0.600000,197.370712,33847,30505
../instancias/VFR60_10_3_Gap.txt,10,0.800000,6.174610,4460,3553
../instancias/VFR60_5_10_Gap.txt,3,0.800000,3.197418,4002,3665
../instancias/VFR600_20_1_Gap.txt,8,1.000000,116.889111,36272,32760
../instancias/VFR700_20_10_Gap.txt,7,0.400000,136.319546,41932,37743
../instancias/VFR10_15_1_Gap.txt,3,1.000000,1.471754,1664,1347
../instancias/VFR60_10_3_Gap.txt,8,0.800000,5.960135,4547,3583
../instancias/VFR600_20_1_Gap.txt,2,0.200000,122.658046,35651,32925
../instancias/VFR20_10_3_Gap.txt,2,0.200000,1.996189,2018,1687
../instancias/VFR20_20_1_Gap.txt,2,0.400000,3.814581,2901,2343
../instancias/VFR10_15_1_Gap.txt,10,0.000000,1.430355,1424,1352
../instancias/VFR10_15_1_Gap.txt,5,0.400000,1.494224,1482,1388
../instancias/VFR20_10_3_Gap.txt,8,0.200000,2.056314,2048,1713
../instancias/VFR500_60_3_Gap.txt,3,1.000000,299.151874,36729,33591
../instancias/VFR500_40_1_Gap.txt,4,0.600000,197.765370,34080,30683
../instancias/VFR600_20_1_Gap.txt,2,0.000000,117.638444,35473,32835
../instancias/VFR600_20_1_Gap.txt,8,0.400000,120.517437,35550,33043
../instancias/VFR600_20_1_Gap.txt,4,0.400000,119.631679,36093,33162
../instancias/VFR700_20_10_Gap.txt,8,0.400000,138.360466,40696,37874
../instancias/VFR500_60_3_Gap.txt,9,1.000000,299.746437,36327,33448
../instancias/VFR20_20_1_Gap.txt,2,0.000000,3.914867,2715,2342
../instancias/VFR10_15_1_Gap.txt,2,0.800000,1.557411,1422,1396
../instancias/VFR100_60_1_Gap.txt,7,0.600000,58.868917,11390,10104
../instancias/VFR700_20_10_Gap.txt,10,0.600000,140.578107,41038,37732
../instancias/VFR20_20_1_Gap.txt,5,0.800000,3.773597,2742,2384
../instancias/VFR20_10_3_Gap.txt,7,0.600000,2.020804,1935,1713
../instancias/VFR20_10_3_Gap.txt,1,0.400000,2.038040,1864,1682
../instancias/VFR100_60_1_Gap.txt,5,0.600000,58.284847,11264,10005
../instancias/VFR700_20_10_Gap.txt,9,0.200000,139.811034,41269,37831
../instancias/VFR20_20_1_Gap.txt,5,1.000000,3.898034,2902,2431
../instancias/VFR100_60_1_Gap.txt,7,0.400000,57.580713,11189,9968
../instancias/VFR60_5_10_Gap.txt,1,0.200000,3.126742,3812,3665
../instancias/VFR10_15_1_Gap.txt,5,0.600000,1.408133,1494,1315
../instancias/VFR700_20_10_Gap.txt,2,0.800000,138.123966,40899,37977
../instancias/VFR700_20_10_Gap.txt,9,0.400000,139.035417,40980,37889
../instancias/VFR60_5_10_Gap.txt,9,0.000000,3.142142,3849,3663
../instancias/VFR500_60_3_Gap.txt,9,0.000000,294.950635,36930,33470
../instancias/VFR60_5_10_Gap.txt,5,0.000000,3.196215,3849,3680
../instancias/VFR20_20_1_Gap.txt,5,0.000000,3.874004,2715,2413
../instancias/VFR500_60_3_Gap.txt,3,0.000000,297.091115,36930,33465
../instancias/VFR700_20_10_Gap.txt,7,1.000000,138.305785,41679,38054
../instancias/VFR100_60_1_Gap.txt,6,0.600000,59.136251,11322,10122
../instancias/VFR60_10_3_Gap.txt,7,0.400000,6.081566,4207,3650
../instancias/VFR10_15_1_Gap.txt,8,0.600000,1.410373,1492,1316
../instancias/VFR600_20_1_Gap.txt,8,0.600000,119.006288,35983,32957
../instancias/VFR60_10_3_Gap.txt,2,0.600000,5.833828,4224,3613
../instancias/VFR20_20_1_Gap.txt,8,1.000000,3.811529,2726,2311
../instancias/VFR600_20_1_Gap.txt,2,0.600000,116.677456,36759,33090
../instancias/VFR600_20_1_Gap.txt,3,0.400000,118.404126,36049,32971
../instancias/VFR500_60_3_Gap.txt,2,0.800000,297.924956,36001,33513
../instancias/VFR20_20_1_Gap.txt,3,0.000000,3.764446,2715,2384
../instancias/VFR600_20_1_Gap.txt,1,0.600000,117.319662,35842,32976
../instancias/VFR60_10_3_Gap.txt,7,0.800000,5.916770,4554,3530
../instancias/VFR20_10_3_Gap.txt,9,0.600000,1.974499,1934,1644
../instancias/VFR600_20_1_Gap.txt,1,1.000000,121.202712,36339,33083
../instancias/VFR20_10_3_Gap.txt,2,0.000000,2.004963,2017,1697
../instancias/VFR500_40_1_Gap.txt,2,0.000000,194.367701,33119,30707
../instancias/VFR700_20_10_Gap.txt,8,0.000000,143.262539,40916,38055
../instancias/VFR20_20_1_Gap.txt,10,0.800000,3.917990,2734,2345
../instancias/VFR100_60_1_Gap.txt,8,0.800000,58.237990,11366,9958
../instancias/VFR10_15_1_Gap.txt,3,0.600000,1.462408,1441,1356
../instancias/VFR500_60_3_Gap.txt,5,0.600000,296.047139,37092,33625
../instancias/VFR500_60_3_Gap.txt,8,0.000000,298.125479,36930,33510
../instancias/VFR700_20_10_Gap.txt,2,0.400000,137.828756,41203,37912
../instancias/VFR700_20_10_Gap.txt,6,0.600000,138.937054,41754,37713
../instancias/VFR600_20_1_Gap.txt,9,0.200000,117.089894,36019,32987
../instancias/VFR20_10_3_Gap.txt,8,0.600000,1.996715,1894,1736
../instancias/VFR20_10_3_Gap.txt,1,0.000000,2.012053,2017,1672
../instancias/VFR60_5_10_Gap.txt,7,0.800000,3.231691,3923,3665
../instancias/VFR10_15_1_Gap.txt,7,0.600000,1.424668,1452,1413
../instancias/VFR20_20_1_Gap.txt,8,0.400000,3.871746,2755,2331
../instancias/VFR600_20_1_Gap.txt,1,0.800000,148.562865,35505,33007
../instancias/VFR700_20_10_Gap.txt,10,0.400000,135.873410,41075,37806
../instancias/VFR700_20_10_Gap.txt,3,0.000000,140.842804,40916,37729
../instancias/VFR60_5_10_Gap.txt,2,0.000000,3.105675,3849,3665
../instancias/VFR10_15_1_Gap.txt,4,1.000000,1.464948,1542,1388
../instancias/VFR500_40_1_Gap.txt,5,0.400000,196.295162,33678,30739
../instancias/VFR10_15_1_Gap.txt,9,0.200000,1.431951,1489,1354
../instancias/VFR100_60_1_Gap.txt,6,0.200000,58.465787,11115,10027
../instancias/VFR20_10_3_Gap.txt,10,0.800000,2.016492,1888,1650
../instancias/VFR500_40_1_Gap.txt,6,0.000000,198.441194,33119,30616
../instancias/VFR600_20_1_Gap.txt,7,0.000000,122.338437,35473,32917
../instancias/VFR60_5_10_Gap.txt,10,0.000000,3.171878,3849,3667
../instancias/VFR100_60_1_Gap.txt,4,0.000000,57.101889,11247,9988
../instancias/VFR60_10_3_Gap.txt,3,0.600000,5.867041,4341,3704
../instancias/VFR60_5_10_Gap.txt,2,0.800000,3.157763,3903,3665
../instancias/VFR500_40_1_Gap.txt,2,0.800000,196.977107,33669,30630
../instancias/VFR20_20_1_Gap.txt,9,0.600000,3.939306,2698,2412
../instancias/VFR500_40_1_Gap.txt,10,1.000000,221.202662,33109,30788
../instancias/VFR500_40_1_Gap.txt,1,0.000000,223.316022,33119,30700
../instancias/VFR500_60_3_Gap.txt,8,0.800000,301.886336,36206,33444
../instancias/VFR500_40_1_Gap.txt,4,0.800000,202.931065,33643,30844
../instancias/VFR60_10_3_Gap.txt,4,0.400000,5.962127,4418,3605
../instancias/VFR20_10_3_Gap.txt,2,0.800000,2.003817,1886,1673
../instancias/VFR500_40_1_Gap.txt,7,0.400000,198.221502,33712,30740
../instancias/VFR60_10_3_Gap.txt,8,1.000000,5.882168,4374,3687
../instancias/VFR500_60_3_Gap.txt,2,0.400000,302.299316,36044,33513
../instancias/VFR600_20_1_Gap.txt,3,1.000000,119.544962,36244,33026
../instancias/VFR20_20_1_Gap.txt,10,0.600000,3.860581,2727,2328
../instancias/VFR60_5_10_Gap.txt,9,0.400000,3.070974,3875,3665
../instancias/VFR100_60_1_Gap.txt,3,0.400000,57.827496,11220,10019
../instancias/VFR60_5_10_Gap.txt,10,0.600000,3.243193,3839,3665
../instancias/VFR10_15_1_Gap.txt,10,0.800000,1.451564,1396,1388
../instancias/VFR10_15_1_Gap.txt,6,0.200000,1.424399,1417,1388
../instancias/VFR20_10_3_Gap.txt,4,0.000000,2.132534,2017,1676
../instancias/VFR10_15_1_Gap.txt,10,0.400000,1.421484,1414,1388
../instancias/VFR500_40_1_Gap.txt,5,0.200000,194.426101,33202,30871
../instancias/VFR60_5_10_Gap.txt,5,0.200000,3.139219,3849,3667
../instancias/VFR10_15_1_Gap.txt,7,0.200000,1.471041,1415,1346
../instancias/VFR60_10_3_Gap.txt,7,0.600000,6.082875,4379,3627
../instancias/VFR10_15_1_Gap.txt,10,1.000000,1.437585,1551,1390
../instancias/VFR500_40_1_Gap.txt,6,0.400000,196.567176,33521,30854
../instancias/VFR20_20_1_Gap.txt,3,0.400000,3.801834,2726,2376
../instancias/VFR10_15_1_Gap.txt,5,0.800000,1.493720,1473,1397
../instancias/VFR20_20_1_Gap.txt,4,0.800000,3.861119,2806,2413
../instancias/VFR60_5_10_Gap.txt,9,1.000000,3.104199,3792,3665
../instancias/VFR60_10_3_Gap.txt,10,0.200000,5.871813,4286,3566
../instancias/VFR60_10_3_Gap.txt,6,0.800000,5.942233,4515,3661
../instancias/VFR20_20_1_Gap.txt,7,0.000000,3.913794,2715,2373
../instancias/VFR500_60_3_Gap.txt,1,0.800000,300.392162,36449,33539
../instancias/VFR60_5_10_Gap.txt,5,0.400000,3.197191,3812,3665
../instancias/VFR500_60_3_Gap.txt,9,0.200000,302.666028,36750,33392
../instancias/VFR20_20_1_Gap.txt,8,0.200000,3.950578,2706,2338
../instancias/VFR500_60_3_Gap.txt,3,0.200000,297.654766,36842,33545
../instancias/VFR10_15_1_Gap.txt,5,0.200000,1.449763,1436,1309
../instancias/VFR700_20_10_Gap.txt,10,0.000000,138.045500,40916,37716
../instancias/VFR10_15_1_Gap.txt,3,0.800000,1.429829,1491,1364
../instancias/VFR10_15_1_Gap.txt,4,0.800000,1.440583,1562,1349
../instancias/VFR100_60_1_Gap.txt,8,1.000000,56.712884,11182,9980
../instancias/VFR10_15_1_Gap.txt,3,0.400000,1.422334,1506,1388
../instancias/VFR100_60_1_Gap.txt,9,0.000000,57.546781,11247,10002
../instancias/VFR20_20_1_Gap.txt,4,0.200000,3.841738,2855,2444
../instancias/VFR500_40_1_Gap.txt,10,0.000000,194.970533,33119,30619
../instancias/VFR20_20_1_Gap.txt,3,0.200000,3.815679,2662,2341
../instancias/VFR60_10_3_Gap.txt,2,0.200000,5.905461,4363,3587
../instancias/VFR20_10_3_Gap.txt,4,0.200000,2.008912,2050,1711
../instancias/VFR700_20_10_Gap.txt,6,0.200000,137.135401,40961,37660
../instancias/VFR600_20_1_Gap.txt,5,0.600000,119.504629,36084,32907
../instancias/VFR60_5_10_Gap.txt,8,0.600000,3.172946,3900,3677
../instancias/VFR700_20_10_Gap.txt,6,0.000000,141.448506,40916,37934
../instancias/VFR500_40_1_Gap.txt,4,1.000000,196.441875,33931,30636
../instancias/VFR20_20_1_Gap.txt,1,0.000000,3.837916,2715,2328
../instancias/VFR500_40_1_Gap.txt,1,0.400000,197.951385,34002,30592
../instancias/VFR20_10_3_Gap.txt,9,0.200000,2.000520,2037,1664
../instancias/VFR20_20_1_Gap.txt,1,0.600000,3.879385,2555,2348
../instancias/VFR700_20_10_Gap.txt,7,0.200000,138.702766,40452,37821
../instancias/VFR700_20_10_Gap.txt,4,0.400000,140.431385,40439,37942
../instancias/VFR700_20_10_Gap.txt,9,0.600000,140.329638,41456,37662
../instancias/VFR60_5_10_Gap.txt,8,0.400000,3.133195,3840,3667
../instancias/VFR600_20_1_Gap.txt,10,0.000000,116.899632,35473,32961
../instancias/VFR500_60_3_Gap.txt,6,0.400000,305.560116,36747,33685
../instancias/VFR500_60_3_Gap.txt,8,0.600000,305.113322,37023,33530
../instancias/VFR600_20_1_Gap.txt,1,0.200000,119.207342,35560,32989
../instancias/VFR10_15_1_Gap.txt,8,1.000000,1.406935,1424,1322
../instancias/VFR600_20_1_Gap.txt,1,0.400000,116.443344,36247,33003
../instancias/VFR700_20_10_Gap.txt,6,0.800000,142.738573,40782,37763
../instancias/VFR60_10_3_Gap.txt,1,0.200000,5.852654,4353,3578
../instancias/VFR700_20_10_Gap.txt,2,1.000000,137.878325,41119,37771
../instancias/VFR600_20_1_Gap.txt,10,0.400000,122.098331,36037,33019
../instancias/VFR500_40_1_Gap.txt,5,0.800000,196.765697,33928,30623
../instancias/VFR700_20_10_Gap.txt,8,1.000000,144.868950,41002,37710
../instancias/VFR20_10_3_Gap.txt,7,0.200000,1.999652,2007,1714
../instancias/VFR60_5_10_Gap.txt,1,0.600000,3.214708,3874,3684
../instancias/VFR20_20_1_Gap.txt,2,0.800000,3.804163,2737,2357
../instancias/VFR500_40_1_Gap.txt,7,0.000000,197.317937,33119,30656
../instancias/VFR500_40_1_Gap.txt,6,0.800000,199.045224,33818,30634
../instancias/VFR100_60_1_Gap.txt,1,0.600000,59.614201,11597,10055
../instancias/VFR500_60_3_Gap.txt,8,0.200000,300.179633,36783,33472
../instancias/VFR20_20_1_Gap.txt,5,0.200000,3.798781,2804,2360
../instancias/VFR60_5_10_Gap.txt,2,0.600000,3.094878,3900,3680
../instancias/VFR60_10_3_Gap.txt,1,0.600000,6.188944,4185,3637
../instancias/VFR60_10_3_Gap.txt,6,0.600000,5.876368,4270,3613
../instancias/VFR700_20_10_Gap.txt,5,0.000000,139.737790,40916,37918
../instancias/VFR500_60_3_Gap.txt,4,0.400000,297.356093,36791,33574
../instancias/VFR20_10_3_Gap.txt,1,0.600000,2.048305,1989,1705
../instancias/VFR20_20_1_Gap.txt,6,0.600000,3.950526,2743,2399
../instancias/VFR60_10_3_Gap.txt,4,0.800000,6.040092,4497,3765
../instancias/VFR20_20_1_Gap.txt,4,0.000000,4.004158,2715,2341
../instancias/VFR60_5_10_Gap.txt,5,0.800000,3.162440,3879,3665
../instancias/VFR60_10_3_Gap.txt,1,0.400000,5.945409,4292,3596
../instancias/VFR500_60_3_Gap.txt,10,0.800000,293.603776,36553,33536
../instancias/VFR500_40_1_Gap.txt,3,0.400000,194.808712,33375,30582
../instancias/VFR500_60_3_Gap.txt,9,0.600000,295.042302,36229,33584
../instancias/VFR20_20_1_Gap.txt,8,0.800000,3.902518,2716,2335
../instancias/VFR500_40_1_Gap.txt,6,0.200000,193.843055,33714,30686
../instancias/VFR10_15_1_Gap.txt,4,0.400000,1.418260,1500,1346
../instancias/VFR60_5_10_Gap.txt,4,0.200000,3.088921,3861,3671
../instancias/VFR10_15_1_Gap.txt,7,1.000000,1.473001,1486,1309
../instancias/VFR60_5_10_Gap.txt,7,1.000000,3.261173,3948,3665
../instancias/VFR100_60_1_Gap.txt,3,0.200000,57.803612,11204,10077
../instancias/VFR10_15_1_Gap.txt,8,0.400000,1.452030,1431,1346
../instancias/VFR600_20_1_Gap.txt,6,0.400000,119.101521,35816,33119
../instancias/VFR60_5_10_Gap.txt,8,1.000000,3.116065,3782,3671
../instancias/VFR600_20_1_Gap.txt,2,0.800000,121.988827,36516,32981
../instancias/VFR600_20_1_Gap.txt,5,0.000000,117.829199,35473,32957
../instancias/VFR20_20_1_Gap.txt,10,0.400000,3.861091,2745,2344
../instancias/VFR100_60_1_Gap.txt,2,0.000000,57.272569,11247,9967
